Datetime,APE_Open,APE_High,APE_Low,APE_Close,APE_Volume,ARB_Open,ARB_High,ARB_Low,ARB_Close,ARB_Volume,FIL_Open,FIL_High,FIL_Low,FIL_Close,FIL_Volume,GALA_Open,GALA_High,GALA_Low,GALA_Close,GALA_Volume,JUP_Open,JUP_High,JUP_Low,JUP_Close,JUP_Volume,OP_Open,OP_High,OP_Low,OP_Close,OP_Volume,SEI_Open,SEI_High,SEI_Low,SEI_Close,SEI_Volume,TIA_Open,TIA_High,TIA_Low,TIA_Close,TIA_Volume
2024-10-22 22:00:00,1.308,1.369,1.307,1.354,4240597.14,0.5811,0.5848,0.5803,0.583,1323673.4,3.819,3.834,3.814,3.825,133148.02,0.02319,0.02397,0.02316,0.02387,132993390.0,0.9858,0.9989,0.9841,0.9951,1157569.4,1.704,1.718,1.702,1.713,258361.14,0.4316,0.4344,0.4305,0.4336,2769859.4,5.731,5.81,5.72,5.79,284610.32
2024-10-22 23:00:00,1.354,1.366,1.341,1.355,5167623.67,0.583,0.5839,0.5785,0.58,1033676.8,3.824,3.829,3.792,3.805,75248.21,0.02386,0.02432,0.02372,0.02422,88875152.0,0.9951,0.9996,0.9855,0.9929,1230196.9,1.712,1.715,1.697,1.702,102493.4,0.4336,0.4343,0.4293,0.4311,2284442.7,5.794,5.818,5.74,5.789,1026622.27
2024-10-23 00:00:00,1.355,1.355,1.309,1.31,4618167.29,0.58,0.5815,0.5767,0.5769,1763586.4,3.806,3.813,3.777,3.78,121428.22,0.02421,0.02463,0.02404,0.02426,141177725.0,0.9931,0.9999,0.9795,0.981,1826052.9,1.703,1.711,1.692,1.695,277814.36,0.4312,0.4325,0.4267,0.4267,2427062.4,5.789,5.823,5.771,5.772,227308.53
2024-10-23 01:00:00,1.31,1.322,1.287,1.311,3101399.29,0.5769,0.5806,0.5764,0.579,998754.7,3.781,3.804,3.774,3.794,103587.53,0.02426,0.02459,0.02421,0.02437,84133444.0,0.9811,0.999,0.9789,0.9989,1324239.0,1.695,1.716,1.693,1.709,254189.1,0.4268,0.4307,0.4256,0.4297,1434413.7,5.771,5.84,5.748,5.835,95663.1
2024-10-23 02:00:00,1.312,1.319,1.3,1.307,977421.24,0.5791,0.5797,0.5738,0.5744,1337650.6,3.793,3.793,3.766,3.766,78749.28,0.02437,0.02446,0.02401,0.02401,42887304.0,0.9988,0.9998,0.9869,0.988,1191054.4,1.709,1.71,1.697,1.698,215038.48,0.4296,0.4306,0.4266,0.4273,1178157.0,5.833,5.861,5.787,5.793,161671.5
2024-10-23 03:00:00,1.306,1.315,1.28,1.306,3119670.34,0.5743,0.576,0.5705,0.5755,2263472.2,3.766,3.782,3.747,3.774,130944.11,0.02401,0.02412,0.02348,0.02352,118206501.0,0.9882,0.9906,0.9709,0.977,1498009.1,1.698,1.704,1.688,1.701,224019.88,0.4272,0.429,0.4237,0.4273,2916273.1,5.793,5.882,5.786,5.847,221635.97
2024-10-23 04:00:00,1.305,1.311,1.274,1.275,1462873.08,0.5755,0.5766,0.573,0.5753,1016222.1,3.774,3.778,3.753,3.764,62317.01,0.02352,0.02374,0.02337,0.02362,50532888.0,0.9772,0.9805,0.9714,0.9765,716241.4,1.702,1.71,1.697,1.707,303318.92,0.4274,0.4283,0.4251,0.4275,1541287.7,5.847,5.918,5.843,5.914,196113.78
2024-10-23 05:00:00,1.275,1.3,1.272,1.288,1276465.49,0.5754,0.5792,0.5724,0.5779,4547560.5,3.765,3.776,3.756,3.762,37436.35,0.02363,0.02373,0.02339,0.02343,34797976.0,0.9764,0.9803,0.9662,0.9708,879463.7,1.707,1.709,1.694,1.7,268680.48,0.4276,0.4281,0.4242,0.4261,1830738.4,5.913,5.974,5.855,5.932,409982.2
2024-10-23 06:00:00,1.287,1.311,1.285,1.289,1343225.89,0.578,0.5808,0.5762,0.577,1320240.6,3.762,3.788,3.752,3.754,89790.82,0.02343,0.02357,0.02315,0.02319,44410283.0,0.9709,0.9823,0.9683,0.9704,971672.1,1.7,1.719,1.697,1.703,456753.59,0.4262,0.4314,0.426,0.4272,2725247.2,5.935,6.027,5.923,5.95,363598.21
2024-10-23 07:00:00,1.289,1.301,1.274,1.282,1661081.09,0.5769,0.578,0.5706,0.5718,2448861.6,3.754,3.763,3.722,3.73,146123.89,0.02319,0.02327,0.02289,0.02295,40227265.0,0.9706,0.9726,0.963,0.9722,968717.8,1.704,1.717,1.692,1.696,501300.14,0.4271,0.4286,0.4231,0.4238,2014128.7,5.952,6.027,5.877,5.968,456010.66
2024-10-23 08:00:00,1.28,1.291,1.25,1.257,4273951.89,0.5719,0.5749,0.5642,0.5655,4268639.2,3.73,3.749,3.708,3.716,192753.3,0.02294,0.02318,0.02283,0.02292,37730720.0,0.9719,0.9812,0.9663,0.9709,1491289.3,1.697,1.708,1.676,1.679,944278.54,0.4239,0.4272,0.4192,0.4217,5781695.6,5.966,6.011,5.869,5.885,378876.09
2024-10-23 09:00:00,1.256,1.259,1.225,1.226,3553412.21,0.5655,0.5678,0.5612,0.5668,4256727.7,3.717,3.732,3.705,3.726,176022.55,0.02292,0.02295,0.02276,0.02281,31592887.0,0.9711,0.9886,0.9641,0.9871,2310753.8,1.68,1.7,1.672,1.698,673181.02,0.4217,0.423,0.4179,0.4212,4900258.9,5.885,5.954,5.816,5.926,337384.05
2024-10-23 10:00:00,1.227,1.243,1.221,1.233,2450050.41,0.5668,0.5697,0.5654,0.5664,1621292.8,3.727,3.737,3.71,3.711,118219.4,0.02282,0.02327,0.02267,0.023,69221609.0,0.9873,0.9966,0.9832,0.9874,1891905.4,1.697,1.714,1.695,1.706,553175.11,0.4213,0.4233,0.4196,0.4197,1135972.5,5.928,5.949,5.856,5.862,223230.83
2024-10-23 11:00:00,1.233,1.241,1.19,1.194,2712500.95,0.5664,0.5678,0.5628,0.5643,2078571.3,3.711,3.725,3.694,3.701,186527.8,0.023,0.02366,0.02297,0.02341,94756200.0,0.9881,1.0046,0.9861,0.9996,2689822.2,1.707,1.718,1.695,1.699,524635.29,0.4197,0.4216,0.4174,0.4183,1906933.3,5.863,5.891,5.735,5.747,236198.96
2024-10-23 12:00:00,1.194,1.215,1.161,1.196,5289837.92,0.5643,0.5655,0.5606,0.5638,2031763.3,3.702,3.72,3.684,3.705,255862.36,0.0234,0.02341,0.02302,0.02311,54820170.0,0.9997,1.009,0.9838,0.9934,3360790.2,1.698,1.72,1.695,1.709,735204.52,0.4184,0.4223,0.4174,0.42,3436147.7,5.747,5.836,5.74,5.821,240748.26
2024-10-23 13:00:00,1.196,1.22,1.192,1.201,2436785.92,0.5637,0.5696,0.563,0.5683,1954390.0,3.705,3.736,3.7,3.724,141899.5,0.0231,0.02321,0.02305,0.02311,22399886.0,0.9934,1.0625,0.9906,1.045,7036209.5,1.709,1.734,1.707,1.723,631642.11,0.4199,0.4238,0.419,0.4226,2573829.5,5.823,5.895,5.786,5.88,171283.02
2024-10-23 14:00:00,1.201,1.246,1.197,1.212,3306881.83,0.5683,0.5691,0.5625,0.5635,3064840.1,3.724,3.734,3.704,3.708,159819.8,0.0231,0.02312,0.0228,0.02284,42967611.0,1.0446,1.0449,1.016,1.0238,3657554.0,1.722,1.735,1.713,1.727,881117.93,0.4227,0.4229,0.4181,0.4189,1701411.3,5.878,5.974,5.817,5.902,278647.13
