Datetime,Open,High,Low,Close,Volume
2024-10-22 22:00:00,1.308,1.369,1.307,1.354,4240597.14
2024-10-22 23:00:00,1.354,1.366,1.341,1.355,5167623.67
2024-10-23 00:00:00,1.355,1.355,1.309,1.31,4618167.29
2024-10-23 01:00:00,1.31,1.322,1.287,1.311,3101399.29
2024-10-23 02:00:00,1.312,1.319,1.3,1.307,977421.24
2024-10-23 03:00:00,1.306,1.315,1.28,1.306,3119670.34
2024-10-23 04:00:00,1.305,1.311,1.274,1.275,1462873.08
2024-10-23 05:00:00,1.275,1.3,1.272,1.288,1276465.49
2024-10-23 06:00:00,1.287,1.311,1.285,1.289,1343225.89
2024-10-23 07:00:00,1.289,1.301,1.274,1.282,1661081.09
2024-10-23 08:00:00,1.28,1.291,1.25,1.257,4273951.89
2024-10-23 09:00:00,1.256,1.259,1.225,1.226,3553412.21
2024-10-23 10:00:00,1.227,1.243,1.221,1.233,2450050.41
2024-10-23 11:00:00,1.233,1.241,1.19,1.194,2712500.95
2024-10-23 12:00:00,1.194,1.215,1.161,1.196,5289837.92
2024-10-23 13:00:00,1.196,1.22,1.192,1.201,2436785.92
2024-10-23 14:00:00,1.201,1.246,1.197,1.212,3306881.83
2024-10-23 15:00:00,1.212,1.218,1.196,1.202,2022506.51
2024-10-23 16:00:00,1.203,1.23,1.188,1.206,4534849.27
2024-10-23 17:00:00,1.206,1.225,1.196,1.201,2502784.13
2024-10-23 18:00:00,1.201,1.222,1.186,1.207,2662244.25
2024-10-23 19:00:00,1.207,1.226,1.201,1.209,1576872.51
2024-10-23 20:00:00,1.209,1.213,1.197,1.201,1405860.1
2024-10-23 21:00:00,1.201,1.204,1.18,1.181,1538075.81
2024-10-23 22:00:00,1.18,1.19,1.139,1.144,3216098.56
2024-10-23 23:00:00,1.145,1.15,1.118,1.129,3000448.57
2024-10-24 00:00:00,1.129,1.159,1.111,1.152,4179864.03
2024-10-24 01:00:00,1.152,1.174,1.149,1.163,3089713.71
2024-10-24 02:00:00,1.163,1.173,1.148,1.166,1717298.78
2024-10-24 03:00:00,1.166,1.196,1.164,1.177,2915894.42
2024-10-24 04:00:00,1.176,1.183,1.166,1.169,818649.12
2024-10-24 05:00:00,1.169,1.189,1.165,1.177,1141365.45
2024-10-24 06:00:00,1.177,1.204,1.167,1.169,1542173.16
2024-10-24 07:00:00,1.168,1.175,1.15,1.158,1757281.07
2024-10-24 08:00:00,1.158,1.165,1.126,1.128,3758190.12
2024-10-24 09:00:00,1.128,1.144,1.12,1.13,1497383.94
2024-10-24 10:00:00,1.13,1.151,1.129,1.134,1678526.05
2024-10-24 11:00:00,1.135,1.148,1.103,1.121,3146243.44
2024-10-24 12:00:00,1.121,1.135,1.12,1.126,1701458.0
