Datetime,Open,High,Low,Close,Volume
2024-10-22 22:00:00,3.819,3.834,3.814,3.825,133148.02
2024-10-22 23:00:00,3.824,3.829,3.792,3.805,75248.21
2024-10-23 00:00:00,3.806,3.813,3.777,3.78,121428.22
2024-10-23 01:00:00,3.781,3.804,3.774,3.794,103587.53
2024-10-23 02:00:00,3.793,3.793,3.766,3.766,78749.28
2024-10-23 03:00:00,3.766,3.782,3.747,3.774,130944.11
2024-10-23 04:00:00,3.774,3.778,3.753,3.764,62317.01
2024-10-23 05:00:00,3.765,3.776,3.756,3.762,37436.35
2024-10-23 06:00:00,3.762,3.788,3.752,3.754,89790.82
2024-10-23 07:00:00,3.754,3.763,3.722,3.73,146123.89
2024-10-23 08:00:00,3.73,3.749,3.708,3.716,192753.3
2024-10-23 09:00:00,3.717,3.732,3.705,3.726,176022.55
2024-10-23 10:00:00,3.727,3.737,3.71,3.711,118219.4
2024-10-23 11:00:00,3.711,3.725,3.694,3.701,186527.8
2024-10-23 12:00:00,3.702,3.72,3.684,3.705,255862.36
2024-10-23 13:00:00,3.705,3.736,3.7,3.724,141899.5
2024-10-23 14:00:00,3.724,3.734,3.704,3.708,159819.8
2024-10-23 15:00:00,3.709,3.713,3.662,3.686,221378.93
2024-10-23 16:00:00,3.687,3.701,3.657,3.663,317984.91
2024-10-23 17:00:00,3.661,3.691,3.646,3.652,192959.75
2024-10-23 18:00:00,3.652,3.652,3.605,3.647,417377.6
2024-10-23 19:00:00,3.646,3.672,3.638,3.668,182280.54
2024-10-23 20:00:00,3.669,3.682,3.658,3.679,136603.48
2024-10-23 21:00:00,3.68,3.682,3.668,3.67,68116.24
2024-10-23 22:00:00,3.669,3.691,3.669,3.678,100140.92
2024-10-23 23:00:00,3.679,3.701,3.675,3.693,108383.27
2024-10-24 00:00:00,3.694,3.744,3.68,3.743,129175.09
2024-10-24 01:00:00,3.744,3.75,3.713,3.725,236990.5
2024-10-24 02:00:00,3.726,3.738,3.712,3.735,118523.86
2024-10-24 03:00:00,3.736,3.74,3.716,3.716,66931.22
2024-10-24 04:00:00,3.713,3.738,3.711,3.736,113086.71
2024-10-24 05:00:00,3.737,3.743,3.729,3.733,78624.46
2024-10-24 06:00:00,3.734,3.742,3.706,3.706,133011.14
2024-10-24 07:00:00,3.706,3.716,3.69,3.692,136105.53
2024-10-24 08:00:00,3.69,3.709,3.657,3.659,178753.21
2024-10-24 09:00:00,3.659,3.675,3.65,3.661,116824.37
2024-10-24 10:00:00,3.661,3.689,3.658,3.685,99365.25
2024-10-24 11:00:00,3.686,3.706,3.684,3.699,80441.33
2024-10-24 12:00:00,3.701,3.708,3.69,3.703,152909.16
2024-10-24 13:00:00,3.705,3.719,3.695,3.712,217363.09
2024-10-24 14:00:00,3.713,3.715,3.682,3.706,114451.76
2024-10-24 15:00:00,3.708,3.738,3.697,3.727,117919.57
2024-10-24 16:00:00,3.727,3.737,3.71,3.719,99449.15
2024-10-24 17:00:00,3.72,3.723,3.705,3.714,79943.04
2024-10-24 18:00:00,3.714,3.743,3.712,3.724,64505.03
2024-10-24 19:00:00,3.723,3.75,3.719,3.745,65941.0
2024-10-24 20:00:00,3.746,3.748,3.729,3.741,102527.38
2024-10-24 21:00:00,3.741,3.77,3.735,3.751,114209.48
