Datetime,Open,High,Low,Close,Volume
2024-10-22 22:00:00,0.4316,0.4344,0.4305,0.4336,2769859.4
2024-10-22 23:00:00,0.4336,0.4343,0.4293,0.4311,2284442.7
2024-10-23 00:00:00,0.4312,0.4325,0.4267,0.4267,2427062.4
2024-10-23 01:00:00,0.4268,0.4307,0.4256,0.4297,1434413.7
2024-10-23 02:00:00,0.4296,0.4306,0.4266,0.4273,1178157.0
2024-10-23 03:00:00,0.4272,0.429,0.4237,0.4273,2916273.1
2024-10-23 04:00:00,0.4274,0.4283,0.4251,0.4275,1541287.7
2024-10-23 05:00:00,0.4276,0.4281,0.4242,0.4261,1830738.4
2024-10-23 06:00:00,0.4262,0.4314,0.426,0.4272,2725247.2
2024-10-23 07:00:00,0.4271,0.4286,0.4231,0.4238,2014128.7
2024-10-23 08:00:00,0.4239,0.4272,0.4192,0.4217,5781695.6
2024-10-23 09:00:00,0.4217,0.423,0.4179,0.4212,4900258.9
2024-10-23 10:00:00,0.4213,0.4233,0.4196,0.4197,1135972.5
2024-10-23 11:00:00,0.4197,0.4216,0.4174,0.4183,1906933.3
2024-10-23 12:00:00,0.4184,0.4223,0.4174,0.42,3436147.7
2024-10-23 13:00:00,0.4199,0.4238,0.419,0.4226,2573829.5
2024-10-23 14:00:00,0.4227,0.4229,0.4181,0.4189,1701411.3
2024-10-23 15:00:00,0.4187,0.4198,0.4122,0.4196,6820165.6
2024-10-23 16:00:00,0.4197,0.4236,0.4181,0.4188,5610346.5
2024-10-23 17:00:00,0.4186,0.426,0.4184,0.422,6220201.9
2024-10-23 18:00:00,0.422,0.4294,0.4168,0.4264,6362791.8
2024-10-23 19:00:00,0.4261,0.4308,0.4241,0.4307,4110113.9
2024-10-23 20:00:00,0.4308,0.4395,0.43,0.4386,5762372.6
2024-10-23 21:00:00,0.4389,0.4389,0.432,0.4329,2404219.7
2024-10-23 22:00:00,0.4329,0.4359,0.4318,0.4322,2066555.8
2024-10-23 23:00:00,0.4323,0.4384,0.4322,0.436,2737570.5
2024-10-24 00:00:00,0.436,0.4404,0.4324,0.44,3423996.1
2024-10-24 01:00:00,0.4401,0.4412,0.4329,0.4333,3954296.9
2024-10-24 02:00:00,0.4334,0.4344,0.4301,0.4305,6393248.0
2024-10-24 03:00:00,0.4305,0.4339,0.4281,0.4307,3693405.3
2024-10-24 04:00:00,0.4307,0.4326,0.4296,0.4313,2046071.0
2024-10-24 05:00:00,0.4314,0.4334,0.4304,0.433,2589277.0
2024-10-24 06:00:00,0.433,0.4348,0.4285,0.4286,4188560.1
2024-10-24 07:00:00,0.4285,0.4295,0.4231,0.4237,3728736.7
2024-10-24 08:00:00,0.4237,0.4245,0.4182,0.4193,7903750.2
2024-10-24 09:00:00,0.4194,0.4205,0.416,0.4174,6248892.6
2024-10-24 10:00:00,0.4173,0.422,0.4165,0.421,3209468.0
2024-10-24 11:00:00,0.421,0.4233,0.4206,0.4218,1928924.7
2024-10-24 12:00:00,0.4218,0.4279,0.4218,0.4255,3736239.6
2024-10-24 13:00:00,0.4255,0.4284,0.4238,0.4269,3305696.2
2024-10-24 14:00:00,0.4269,0.4273,0.42,0.4217,6639942.2
2024-10-24 15:00:00,0.4217,0.4242,0.4203,0.4216,1830728.1
2024-10-24 16:00:00,0.4216,0.4238,0.4201,0.4216,1168740.7
2024-10-24 17:00:00,0.4215,0.4263,0.4201,0.4208,3726505.4
2024-10-24 18:00:00,0.4209,0.4235,0.4203,0.4214,1930990.6
2024-10-24 19:00:00,0.4213,0.426,0.4204,0.4252,2529648.1
2024-10-24 20:00:00,0.4253,0.4255,0.4202,0.4217,2613046.0
2024-10-24 21:00:00,0.4218,0.4268,0.4218,0.4229,1857649.9
2024-10-24 22:00:00,0.4229,0.4249,0.4214,0.4217,3266554.4
2024-10-24 23:00:00,0.4217,0.4223,0.4193,0.4217,3480883.1
2024-10-25 00:00:00,0.4218,0.4228,0.4176,0.4181,2226657.3
2024-10-25 01:00:00,0.4181,0.4185,0.4137,0.4143,3451807.6
2024-10-25 02:00:00,0.4144,0.4161,0.4072,0.4095,7742507.9
2024-10-25 03:00:00,0.4095,0.4104,0.4052,0.408,5769400.0
2024-10-25 04:00:00,0.4081,0.4089,0.4009,0.402,6237539.4
2024-10-25 05:00:00,0.4021,0.4041,0.4007,0.4022,5910747.3
2024-10-25 06:00:00,0.4023,0.4042,0.4006,0.4019,2715813.7
2024-10-25 07:00:00,0.4019,0.4028,0.3997,0.4025,3289871.4
2024-10-25 08:00:00,0.4026,0.4027,0.3896,0.4016,8042646.6
2024-10-25 09:00:00,0.4016,0.4048,0.4007,0.4046,4548248.5
2024-10-25 10:00:00,0.4047,0.406,0.4028,0.4058,2687865.9
2024-10-25 11:00:00,0.4058,0.407,0.405,0.4064,2293585.6
2024-10-25 12:00:00,0.4064,0.4083,0.4034,0.4036,2672604.0
2024-10-25 13:00:00,0.4036,0.4071,0.401,0.4065,4764068.1
2024-10-25 14:00:00,0.4066,0.4075,0.4034,0.4042,4616684.0
2024-10-25 15:00:00,0.4042,0.4063,0.3963,0.3994,5642689.0
2024-10-25 16:00:00,0.3994,0.4001,0.3942,0.3986,5587833.5
2024-10-25 17:00:00,0.3987,0.3999,0.3893,0.391,11510474.6
2024-10-25 18:00:00,0.3909,0.3953,0.3855,0.39,18229634.0
2024-10-25 19:00:00,0.3899,0.3913,0.3884,0.39,5350306.8
2024-10-25 20:00:00,0.3899,0.3918,0.3887,0.3901,1616436.0
2024-10-25 21:00:00,0.3901,0.3936,0.3896,0.3935,1222371.1
2024-10-25 22:00:00,0.3935,0.3941,0.3877,0.3879,2394073.2
2024-10-25 23:00:00,0.3878,0.3884,0.3526,0.3722,48063564.0
2024-10-26 00:00:00,0.3722,0.3729,0.3646,0.3708,17313776.3
2024-10-26 01:00:00,0.3708,0.373,0.3647,0.3681,9160184.4
2024-10-26 02:00:00,0.368,0.3716,0.3652,0.3703,4083163.1
2024-10-26 03:00:00,0.3702,0.3711,0.3677,0.3704,4777429.6
2024-10-26 04:00:00,0.3704,0.3708,0.3656,0.3674,6673736.3
2024-10-26 05:00:00,0.3675,0.3721,0.3675,0.3697,4032500.9
2024-10-26 06:00:00,0.3696,0.3756,0.3693,0.3755,2925243.5
2024-10-26 07:00:00,0.3753,0.3771,0.3749,0.3756,3385795.4
2024-10-26 08:00:00,0.3757,0.3778,0.3753,0.3766,2548157.7
2024-10-26 09:00:00,0.3766,0.3773,0.3749,0.3754,2490499.2
2024-10-26 10:00:00,0.3754,0.3767,0.3744,0.3746,1304989.1
2024-10-26 11:00:00,0.3747,0.3823,0.3742,0.3805,3033749.9
2024-10-26 12:00:00,0.3805,0.3817,0.3782,0.3789,1571951.7
2024-10-26 13:00:00,0.3789,0.3798,0.3743,0.3744,2899082.9
2024-10-26 14:00:00,0.3743,0.3756,0.3676,0.3681,4430174.9
2024-10-26 15:00:00,0.3682,0.3729,0.3674,0.3693,2979034.5
2024-10-26 16:00:00,0.3693,0.3714,0.3676,0.3714,2169224.3
2024-10-26 17:00:00,0.3713,0.3744,0.3712,0.3735,1996240.7
2024-10-26 18:00:00,0.3736,0.3749,0.3724,0.3731,1627437.8
2024-10-26 19:00:00,0.3732,0.377,0.3731,0.376,4462524.1
2024-10-26 20:00:00,0.3761,0.3798,0.3755,0.3764,2551404.2
2024-10-26 21:00:00,0.3764,0.3774,0.3748,0.3767,1090911.1
2024-10-26 22:00:00,0.3768,0.3787,0.3767,0.3776,1037889.0
2024-10-26 23:00:00,0.3776,0.3782,0.3768,0.3779,574986.7
2024-10-27 00:00:00,0.3779,0.3779,0.3741,0.3752,1212242.0
2024-10-27 01:00:00,0.3752,0.377,0.3737,0.3765,1229307.0
2024-10-27 02:00:00,0.3765,0.3774,0.374,0.3744,629817.1
2024-10-27 03:00:00,0.3743,0.3795,0.3741,0.3786,1008564.5
2024-10-27 04:00:00,0.3786,0.3794,0.3757,0.3759,816015.0
2024-10-27 05:00:00,0.376,0.3787,0.3758,0.3782,752814.6
2024-10-27 06:00:00,0.3782,0.3782,0.3754,0.3761,1075040.9
2024-10-27 07:00:00,0.376,0.3783,0.3759,0.3779,601014.6
2024-10-27 08:00:00,0.378,0.3789,0.3759,0.377,900497.0
2024-10-27 09:00:00,0.3769,0.3771,0.3714,0.3731,1950006.2
2024-10-27 10:00:00,0.3731,0.3745,0.3719,0.3732,1739122.9
2024-10-27 11:00:00,0.3733,0.375,0.3725,0.3727,1297693.0
2024-10-27 12:00:00,0.3726,0.378,0.3724,0.3752,1224496.0
2024-10-27 13:00:00,0.3753,0.3834,0.3753,0.3779,5619474.2
2024-10-27 14:00:00,0.378,0.3798,0.3775,0.3778,1995142.8
2024-10-27 15:00:00,0.3777,0.38,0.3768,0.3787,2362664.0
2024-10-27 16:00:00,0.3788,0.3813,0.3773,0.379,1442882.6
2024-10-27 17:00:00,0.3791,0.3827,0.3775,0.3794,2290598.5
2024-10-27 18:00:00,0.3794,0.3797,0.3751,0.3751,1184572.8
2024-10-27 19:00:00,0.3751,0.3766,0.3734,0.374,1455494.1
2024-10-27 20:00:00,0.3741,0.3746,0.3708,0.3711,2376806.9
2024-10-27 21:00:00,0.3711,0.3779,0.3703,0.3765,2047949.5
2024-10-27 22:00:00,0.3766,0.3818,0.3761,0.3763,2764803.7
2024-10-27 23:00:00,0.3764,0.3786,0.3741,0.3748,1691345.2
2024-10-28 00:00:00,0.3748,0.3759,0.3714,0.3716,2885911.1
2024-10-28 01:00:00,0.3715,0.3719,0.3672,0.3674,7285789.4
2024-10-28 02:00:00,0.3673,0.3686,0.3656,0.3662,2862875.7
2024-10-28 03:00:00,0.3661,0.3677,0.357,0.3586,8014958.3
2024-10-28 04:00:00,0.3585,0.3616,0.3573,0.3597,2659054.4
2024-10-28 05:00:00,0.3597,0.3617,0.3553,0.361,4461081.6
2024-10-28 06:00:00,0.361,0.3633,0.3596,0.3631,1988506.7
2024-10-28 07:00:00,0.3631,0.3709,0.363,0.3692,4646811.0
2024-10-28 08:00:00,0.3693,0.3706,0.3667,0.3667,1855818.2
2024-10-28 09:00:00,0.3668,0.369,0.3648,0.3686,2281759.9
2024-10-28 10:00:00,0.3686,0.369,0.3655,0.3661,1606636.3
2024-10-28 11:00:00,0.3662,0.3669,0.3641,0.3652,1849653.1
2024-10-28 12:00:00,0.3651,0.3676,0.3632,0.3642,2783844.3
2024-10-28 13:00:00,0.3641,0.3669,0.3622,0.3624,2452137.1
2024-10-28 14:00:00,0.3623,0.364,0.359,0.3599,3168490.4
2024-10-28 15:00:00,0.36,0.3604,0.3563,0.3578,4354907.6
2024-10-28 16:00:00,0.3577,0.3603,0.356,0.3569,2161891.1
2024-10-28 17:00:00,0.3568,0.3598,0.3526,0.3559,4541696.9
2024-10-28 18:00:00,0.3559,0.3593,0.3558,0.3581,1448622.4
2024-10-28 19:00:00,0.3579,0.3651,0.3574,0.3604,5389554.7
2024-10-28 20:00:00,0.3604,0.3626,0.3587,0.362,4253649.0
2024-10-28 21:00:00,0.3621,0.3675,0.3616,0.3674,2297331.9
2024-10-28 22:00:00,0.3674,0.3741,0.3674,0.3733,5743346.3
2024-10-28 23:00:00,0.3734,0.3755,0.3715,0.3722,2554641.9
2024-10-29 00:00:00,0.3722,0.3855,0.371,0.3811,7104982.7
2024-10-29 01:00:00,0.3811,0.3856,0.3788,0.3831,7248954.5
2024-10-29 02:00:00,0.383,0.3911,0.3814,0.3887,6342081.7
2024-10-29 03:00:00,0.3888,0.3916,0.386,0.3875,3399361.4
2024-10-29 04:00:00,0.3876,0.3883,0.3844,0.3854,2363639.3
2024-10-29 05:00:00,0.3854,0.3859,0.3823,0.3835,2085078.6
2024-10-29 06:00:00,0.3837,0.3848,0.3816,0.3826,1519280.3
2024-10-29 07:00:00,0.3826,0.3839,0.3807,0.3819,1635530.7
2024-10-29 08:00:00,0.382,0.3866,0.3818,0.3845,2065754.0
2024-10-29 09:00:00,0.3845,0.3885,0.3843,0.3881,2298677.9
2024-10-29 10:00:00,0.3882,0.3905,0.3845,0.3883,2827604.2
2024-10-29 11:00:00,0.3882,0.3993,0.3879,0.3949,9954815.6
2024-10-29 12:00:00,0.3949,0.4014,0.3922,0.3937,5490970.2
2024-10-29 13:00:00,0.3936,0.3985,0.3924,0.3933,6021200.3
2024-10-29 14:00:00,0.3933,0.3959,0.3898,0.392,5159206.6
2024-10-29 15:00:00,0.392,0.3962,0.3916,0.3959,4491597.7
2024-10-29 16:00:00,0.396,0.4032,0.3889,0.4002,17243035.3
2024-10-29 17:00:00,0.4003,0.4012,0.3947,0.3962,5678589.4
2024-10-29 18:00:00,0.3961,0.3975,0.3934,0.3964,1929144.5
2024-10-29 19:00:00,0.3965,0.3972,0.3875,0.3882,5962761.1
2024-10-29 20:00:00,0.3883,0.3909,0.3842,0.3901,3676153.2
2024-10-29 21:00:00,0.3899,0.3921,0.3881,0.3918,2015059.8
2024-10-29 22:00:00,0.3917,0.3968,0.3907,0.394,3926965.6
2024-10-29 23:00:00,0.3941,0.3968,0.3924,0.3965,1816462.6
2024-10-30 00:00:00,0.3965,0.4022,0.3937,0.3974,7830411.9
2024-10-30 01:00:00,0.3975,0.398,0.3924,0.397,2988806.9
2024-10-30 02:00:00,0.397,0.4158,0.3966,0.4118,15090580.2
2024-10-30 03:00:00,0.4118,0.4196,0.404,0.4152,18031411.5
2024-10-30 04:00:00,0.4153,0.4204,0.4126,0.4173,7217104.5
2024-10-30 05:00:00,0.4175,0.4203,0.4111,0.4113,6510345.1
2024-10-30 06:00:00,0.4113,0.4161,0.4082,0.4137,4558553.1
2024-10-30 07:00:00,0.4136,0.4159,0.4085,0.4095,5233220.7
2024-10-30 08:00:00,0.4094,0.4147,0.406,0.4069,4068424.4
2024-10-30 09:00:00,0.4067,0.4136,0.4057,0.4118,3671350.0
2024-10-30 10:00:00,0.4117,0.4184,0.4113,0.4158,4475329.0
2024-10-30 11:00:00,0.416,0.4206,0.4107,0.4108,9209554.1
2024-10-30 12:00:00,0.4108,0.4174,0.4072,0.4171,9390233.8
2024-10-30 13:00:00,0.4171,0.4171,0.408,0.4146,5994614.8
2024-10-30 14:00:00,0.4145,0.4207,0.4108,0.4117,6198068.8
2024-10-30 15:00:00,0.4118,0.4159,0.4036,0.4042,8053903.5
2024-10-30 16:00:00,0.4042,0.4094,0.4025,0.4048,4189595.5
2024-10-30 17:00:00,0.4048,0.4053,0.4007,0.4014,5851586.8
2024-10-30 18:00:00,0.4015,0.4066,0.3998,0.4046,3028785.9
2024-10-30 19:00:00,0.4045,0.4047,0.402,0.4027,1162195.2
2024-10-30 20:00:00,0.4028,0.4088,0.3993,0.4078,4462676.7
2024-10-30 21:00:00,0.4079,0.4095,0.4031,0.4048,2347926.4
2024-10-30 22:00:00,0.4047,0.4091,0.4024,0.408,1769872.9
2024-10-30 23:00:00,0.4081,0.4113,0.4068,0.4071,2511356.1
2024-10-31 00:00:00,0.4071,0.4088,0.3974,0.3983,4263029.2
2024-10-31 01:00:00,0.3984,0.4029,0.3961,0.4002,4372984.1
2024-10-31 02:00:00,0.4003,0.4013,0.3968,0.3978,3298717.3
2024-10-31 03:00:00,0.3978,0.3988,0.3967,0.3973,868502.5
2024-10-31 04:00:00,0.3971,0.3992,0.3967,0.3983,895909.9
2024-10-31 05:00:00,0.3984,0.4004,0.3977,0.3983,1424699.7
2024-10-31 06:00:00,0.3982,0.399,0.3955,0.3966,1562741.1
2024-10-31 07:00:00,0.3966,0.3996,0.3946,0.3994,2021002.7
2024-10-31 08:00:00,0.3994,0.3996,0.3925,0.394,4101481.1
2024-10-31 09:00:00,0.3939,0.3956,0.393,0.3939,1120613.4
2024-10-31 10:00:00,0.3938,0.3969,0.3919,0.3967,3398246.9
2024-10-31 11:00:00,0.3967,0.3967,0.3923,0.3935,2052798.2
2024-10-31 12:00:00,0.3935,0.3943,0.3903,0.3915,2329954.2
2024-10-31 13:00:00,0.3915,0.3921,0.3876,0.3896,3419326.8
2024-10-31 14:00:00,0.3898,0.3919,0.3851,0.3871,8578737.7
2024-10-31 15:00:00,0.387,0.3924,0.3863,0.3923,5951920.0
2024-10-31 16:00:00,0.3921,0.3932,0.3889,0.3889,3007812.3
2024-10-31 17:00:00,0.3888,0.3922,0.3867,0.3885,2490514.6
2024-10-31 18:00:00,0.3885,0.3888,0.3828,0.3881,5555678.7
2024-10-31 19:00:00,0.388,0.3889,0.3851,0.3854,1795065.5
2024-10-31 20:00:00,0.3854,0.3909,0.3854,0.3908,2283238.4
2024-10-31 21:00:00,0.3909,0.3928,0.3887,0.3919,2813325.8
2024-10-31 22:00:00,0.3918,0.3929,0.3849,0.3888,3199816.7
2024-10-31 23:00:00,0.389,0.3894,0.3851,0.3853,1653754.4
2024-11-01 00:00:00,0.3852,0.3896,0.3852,0.3858,2255580.7
2024-11-01 01:00:00,0.3857,0.3872,0.3803,0.3842,4670649.3
2024-11-01 02:00:00,0.3843,0.3911,0.3786,0.3903,6229747.5
2024-11-01 03:00:00,0.3903,0.3929,0.3893,0.3902,2820077.9
2024-11-01 04:00:00,0.3904,0.3939,0.3897,0.3927,1703248.6
2024-11-01 05:00:00,0.3929,0.3929,0.3875,0.389,2102835.8
2024-11-01 06:00:00,0.389,0.3907,0.3836,0.3843,2924592.3
2024-11-01 07:00:00,0.3842,0.3865,0.3805,0.3861,4310172.2
2024-11-01 08:00:00,0.3861,0.3893,0.3842,0.3848,2513317.4
2024-11-01 09:00:00,0.3848,0.3904,0.384,0.3892,1775347.3
2024-11-01 10:00:00,0.3891,0.3923,0.3873,0.3903,3937135.5
2024-11-01 11:00:00,0.3903,0.3923,0.3899,0.3903,1399501.1
2024-11-01 12:00:00,0.3904,0.3967,0.3892,0.396,4407534.3
2024-11-01 13:00:00,0.3958,0.4044,0.3936,0.4042,8681823.2
2024-11-01 14:00:00,0.4041,0.4043,0.3968,0.3987,5650990.7
2024-11-01 15:00:00,0.3988,0.3999,0.3777,0.3811,13848000.7
2024-11-01 16:00:00,0.3811,0.3901,0.38,0.3872,5166509.2
2024-11-01 17:00:00,0.3874,0.3903,0.3825,0.3854,3707434.5
2024-11-01 18:00:00,0.3855,0.3855,0.3806,0.3807,1492090.2
2024-11-01 19:00:00,0.3807,0.384,0.3789,0.3822,2717102.3
